"年","月","日","時","分","縣市","區","死","受傷","2-30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","受傷程度","主要傷處","保護裝備","行動電話","當事者區分(類別)","車輛用途","當事者行動狀態","駕駛資格情形","駕駛執照種類","飲酒情形","車輛撞擊部位最初","車輛撞擊部位其他","肇事因素個別","肇事因素主要","肇事逃逸","職業","旅次目的","車種","GPS座標(緯度)","GPS座標(經度)","事故類別"
"2019","8","2","17","42","臺中市","大甲區","0","0","0","8","1","5","40","14","9","1","5","4","5","7","4","4","10","5","5","1","14","12","","","","","C03","","","1","","2","","","12","12","1","","","C03","24.345823","120.625957","3"
"2019","8","2","17","44","臺中市","潭子區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","42","","1","22","","B12","24.194684","120.702408","3"
"2019","8","2","17","47","臺中市","潭子區","0","1","0","7","1","5","60","14","9","1","5","4","5","7","1","1","9","3","4","1","13","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","22","1","C03","24.204794","120.704562","2"
"2019","8","2","17","49","臺中市","潭子區","0","0","0","8","","","80","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","16","","1","22","","B03","24.200458","120.709552","3"
"2019","8","2","17","51","臺中市","龍井區","0","0","0","8","","","70","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","11","","B03","24.176251","120.543216","3"
"2019","8","2","17","58","臺中市","西屯區","","","","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.166775","120.65001","3"
"2019","8","2","17","58","臺中市","西屯區","0","2","0","8","1","5","40","3","1","1","5","4","5","7","4","4","10","5","5","2","16","6","2","8","3","4","C03","7","5","1","10","2","12","","6","6","1","22","8","C03","24.159085","120.658151","2"
"2019","8","2","18","0","臺中市","梧棲區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","9","","B03","24.248009","120.547639","3"
"2019","8","2","18","0","臺中市","神岡區","0","1","0","8","1","5","50","14","8","1","5","4","5","7","4","4","1","4","4","1","16","6","2","9","1","1","C03","7","9","3","18","2","11","","23","6","1","22","8","C03","24.246687","120.685847","2"
"2019","8","2","18","10","臺中市","大里區","0","0","0","6","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","16","","1","12","","B03","24.092871","120.690053","3"
"2019","8","2","18","10","臺中市","大甲區","0","2","0","8","1","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","17","6","3","10","1","1","B03","7","9","1","8","2","2","","6","6","1","22","9","B03","24.350376","120.62444","2"
"2019","8","2","18","15","臺中市","太平區","0","2","0","6","1","5","40","3","2","1","4","4","5","7","4","4","9","4","5","1","17","42","2","9","1","1","C04","7","9","1","10","2","11","","42","42","1","21","8","C04","24.113431","120.701611","2"
"2019","8","2","18","16","臺中市","北屯區","0","1","0","6","3","5","40","14","8","1","4","4","5","7","4","4","1","3","1","2","13","23","2","9","3","4","C03","7","9","1","10","2","11","","23","23","1","21","8","C03","24.16105","120.729546","2"
"2019","8","2","18","16","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","16","","1","22","","B03","24.170681","120.631326","3"
"2019","8","2","18","18","臺中市","南屯區","0","1","0","7","2","5","40","14","12","1","5","4","5","7","4","4","5","5","4","2","13","23","2","7","1","4","C03","7","9","1","10","2","11","","23","23","1","21","8","C03","24.152369","120.635061","2"
"2019","8","2","18","26","臺中市","西屯區","0","1","0","8","1","5","50","11","8","1","5","4","5","7","4","4","5","4","4","2","17","42","2","9","1","1","C03","7","9","1","10","2","14","","42","42","1","21","8","C03","24.172085","120.651868","2"
"2019","8","2","18","28","臺中市","北屯區","0","1","0","6","2","5","50","14","9","1","4","4","5","6","4","4","1","3","5","2","13","23","3","10","1","1","B03","7","9","1","8","2","1","","23","23","1","21","8","B03","24.163514","120.693503","2"
"2019","8","2","18","30","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","3","","2","","","7","","1","21","","B03","24.158894","120.647358","3"
"2019","8","2","18","36","臺中市","南區","0","0","0","6","","","50","","","","","","","","","","","","","","","23","","","","","B03","","","1","","2","","","23","23","1","5","","B03","24.121311","120.66133","3"
"2019","8","2","18","37","臺中市","龍井區","0","1","0","8","1","5","40","4","2","1","5","4","5","7","4","4","10","5","5","2","16","23","3","10","1","1","C03","7","6","1","10","2","14","","23","23","1","12","8","C03","24.20547","120.52935","2"
"2019","8","2","18","42","臺中市","大甲區","0","1","0","8","1","5","50","14","12","1","5","4","5","7","4","4","1","4","4","1","18","23","2","9","1","1","C03","7","9","1","10","2","12","","23","23","1","22","8","C03","24.332969","120.6144","2"
"2019","8","2","18","45","臺中市","西屯區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","12","","1","22","","B03","24.186289","120.615786","3"
"2019","8","2","18","47","臺中市","太平區","0","1","0","8","3","5","50","14","9","1","5","4","5","7","4","4","1","4","5","2","13","16","3","10","1","1","B03","7","9","1","8","2","1","","16","16","1","21","8","B03","24.147175","120.713222","2"
"2019","8","2","18","50","臺中市","西屯區","","","","6","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.175613","120.639966","3"
"2019","8","2","18","52","臺中市","北屯區","0","1","0","6","3","5","50","4","2","1","4","4","5","7","1","1","1","2","5","2","29","67","","","","","","","","","","","","","67","67","1","","","","24.183648","120.686123","2"
"2019","8","2","18","58","臺中市","北區","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","","","B03","24.17286","120.671775","3"
"2019","8","2","19","1","臺中市","西屯區","0","0","0","6","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","16","","1","22","","B03","24.196585","120.647664","3"
"2019","8","2","19","5","臺中市","南區","0","0","0","6","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","4","","B03","24.120087","120.650282","3"
"2019","8","2","19","7","臺中市","沙鹿區","0","1","0","7","3","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","14","12","3","10","1","1","B03","7","2","1","8","2","3","","12","12","1","22","9","B03","24.207383","120.565283","2"
"2019","8","2","19","10","臺中市","沙鹿區","0","1","0","8","3","5","40","3","1","1","5","4","5","7","3","1","1","4","5","1","13","23","2","3","1","1","B12","7","12","1","8","2","8","","23","23","1","3","8","B12","24.251782","120.598076","2"
"2019","8","2","19","10","臺中市","潭子區","0","0","0","6","","","60","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","17","","1","22","","B03","24.231205","120.708789","3"
"2019","8","2","19","14","臺中市","西屯區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","13","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","21","8","C03","24.196053","120.647709","2"
"2019","8","2","19","15","臺中市","東區","0","0","0","8","","","50","","","","","","","","","","","","","","","25","","","","","B03","","","1","","2","","","25","25","1","22","","B03","24.150503","120.698357","3"
"2019","8","2","19","15","臺中市","后里區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","42","","1","22","","B12","24.305996","120.715573","3"
"2019","8","2","19","16","臺中市","霧峰區","0","0","0","6","","","40","","","","","","","","","","","","","","","","","","","","B03","","","3","","2","","","17","","1","21","","B03","24.071966","120.662896","3"
"2019","8","2","19","19","臺中市","東區","0","0","0","6","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.13214","120.698687","3"
"2019","8","2","19","25","臺中市","潭子區","0","0","0","6","","","50","","","","","","","","","","","","","","","23","","","","","B03","","","1","","2","","","23","23","1","22","","B03","24.228523","120.715428","3"
"2019","8","2","19","26","臺中市","后里區","0","2","0","8","4","5","50","14","9","1","5","4","5","7","4","4","5","5","5","1","3","51","2","9","4","4","H01","8","16","8","20","10","16","","51","51","1","22","8","H01","24.314515","120.688688","2"
"2019","8","2","19","36","臺中市","太平區","0","1","0","6","3","5","50","14","9","1","4","4","5","7","4","4","1","4","5","2","18","23","2","9","1","1","C03","7","9","1","10","2","12","","23","23","1","21","8","C03","24.149203","120.71428","2"
"2019","8","2","19","40","臺中市","沙鹿區","0","0","0","8","","","50","","","","","","","","","","","","","","","16","","","","","B03","","","1","","2","","","16","16","","","","B03","24.242908","120.570778","3"
"2019","8","2","19","48","臺中市","西屯區","0","1","0","8","3","5","50","14","9","1","5","4","5","7","4","4","4","1","5","2","13","23","2","7","1","1","C03","7","9","1","10","2","11","","23","23","1","21","8","C03","24.159058","120.64791","2"
"2019","8","2","19","55","臺中市","西區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B02","","","1","","2","","","6","","1","21","","B02","24.135171","120.66021","3"
"2019","8","2","19","55","臺中市","太平區","0","1","0","6","3","5","50","3","2","1","4","4","5","7","2","1","5","5","4","2","13","16","3","10","1","1","A02","7","6","1","2","2","8","","16","16","1","10","4","A02","24.146597","120.733393","2"
"2019","8","2","19","58","臺中市","北屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.182388","120.716853","3"
"2019","8","2","19","58","臺中市","烏日區","0","0","0","6","","","30","","","","","","","","","","","","","","","","","","","","B02","","","1","","2","","","16","","1","21","","B02","24.114285","120.617685","3"
"2019","8","2","20","0","臺中市","西區","0","1","0","6","3","5","50","4","1","1","4","4","5","7","1","1","10","5","5","2","17","6","3","10","1","1","B03","7","6","1","8","2","15","","6","6","1","5","5","B03","24.148416","120.67418","2"
"2019","8","2","20","5","臺中市","西屯區","0","0","0","8","3","5","50","14","7","1","5","4","5","7","4","4","10","4","5","2","13","23","3","10","3","4","B03","7","9","1","8","9","1","","23","23","2","22","9","B03","24.166442","120.642573","3"
"2019","8","2","20","8","臺中市","潭子區","0","0","0","8","","","60","","","","","","","","","","","","","","","43","4","11","3","4","","7","21","7","19","11","15","","43","43","","22","9","","24.200485","120.710884","3"
"2019","8","2","20","20","臺中市","沙鹿區","0","1","0","8","3","5","50","3","1","1","5","4","5","7","1","1","10","5","5","2","16","9","3","10","1","1","B03","7","6","1","8","2","2","","9","9","1","19","8","B03","24.206752","120.568076","2"
"2019","8","2","20","21","臺中市","西區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B01","","","1","","2","","","38","","1","5","","B01","24.154369","120.661814","3"
"2019","8","2","20","28","臺中市","大里區","0","2","0","8","3","5","50","14","7","1","5","4","5","7","4","4","5","5","4","1","12","19","3","10","1","1","B01","7","1","1","4","2","8","","19","19","1","21","8","B01","24.106061","120.686406","2"
"2019","8","2","20","34","臺中市","太平區","0","1","0","8","3","5","50","3","1","1","5","4","5","7","3","1","10","5","5","2","14","12","3","10","1","1","B03","7","2","1","8","2","3","","12","12","1","21","8","B03","24.126021","120.712268","2"
"2019","8","2","20","49","臺中市","西屯區","0","1","0","8","3","5","50","14","9","1","5","4","5","7","4","4","5","5","5","1","16","8","3","10","3","4","B03","7","5","1","8","2","1","","8","8","1","22","9","B03","24.175548","120.640066","2"
"2019","8","2","21","20","臺中市","潭子區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","52","","1","22","","B03","24.200803","120.706045","3"
"2019","8","2","21","40","臺中市","大雅區","0","2","0","8","1","5","40","3","1","1","5","4","5","7","3","1","5","5","5","1","17","19","3","10","1","1","C03","7","1","1","10","2","11","","19","19","1","21","8","C03","24.235292","120.624553","2"
"2019","8","2","21","47","臺中市","東區","0","2","0","8","3","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","17","6","2","9","1","1","C03","7","5","1","10","2","11","","6","6","1","5","8","C03","24.136411","120.70121","2"
"2019","8","2","21","57","臺中市","北區","0","1","0","8","3","5","50","4","2","1","5","4","5","7","2","1","1","4","5","2","13","23","3","10","1","1","B03","7","9","1","8","2","5","","23","23","1","22","8","B03","24.15136","120.67716","2"
"2019","8","2","22","5","臺中市","南區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","42","","1","22","","B03","24.11753","120.658228","3"
"2019","8","2","22","36","臺中市","大雅區","0","2","0","8","3","5","40","4","1","1","5","4","5","7","4","4","10","5","5","2","17","6","2","9","1","1","C03","7","6","1","10","7","11","","6","6","1","22","9","C03","24.222002","120.658384","2"
"2019","8","2","22","40","臺中市","潭子區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","42","","1","22","","B03","24.208277","120.710201","3"
"2019","8","2","23","14","臺中市","東區","0","1","0","8","3","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","16","6","3","10","1","1","B03","7","9","1","8","2","1","","6","6","1","5","8","B03","24.148054","120.707978","2"
"2019","8","2","23","18","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","17","","","","","A04","","","1","","2","","","17","17","1","","","A04","24.167736","120.638281","3"
"2019","8","2","23","18","臺中市","潭子區","0","0","0","8","3","5","60","14","9","1","5","4","5","7","1","1","8","3","4","1","18","23","3","10","1","1","B03","7","5","1","8","5","1","","23","23","1","22","1","B03","24.200793","120.703492","3"
"2019","8","2","23","18","臺中市","潭子區","0","0","0","8","3","5","60","14","9","1","5","4","5","7","1","1","8","3","4","1","18","23","3","10","1","1","B03","7","5","1","8","5","1","","23","23","1","22","1","B03","","","3"
"2019","8","2","23","55","臺中市","沙鹿區","0","1","0","8","3","5","50","3","2","1","5","4","1","6","3","1","10","5","5","2","28","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","16","8","C03","24.231142","120.560953","2"
"2019","8","3","0","42","臺中市","北區","0","0","0","8","3","5","50","14","9","1","5","4","5","7","4","4","5","2","5","2","13","23","3","10","1","1","B03","7","9","1","8","7","1","","23","23","1","22","8","B03","24.166975","120.674865","3"
"2019","8","3","2","39","臺中市","北區","0","0","0","8","3","5","50","14","9","1","5","4","5","7","4","4","5","5","5","2","16","23","3","","","","B03","","","1","8","2","2","","23","23","","21","","B03","24.155394","120.688136","3"
"2019","8","3","5","16","臺中市","南屯區","0","1","0","8","3","5","50","14","9","1","5","4","5","7","4","4","8","4","5","2","12","21","2","8","1","1","B03","7","9","1","8","7","1","5","21","21","2","22","8","B03","24.143588","120.64429","2"
"2019","8","3","5","20","臺中市","和平區","0","0","0","","","","","","","","","","","","","","","","","","","26","","","","","B03","","","1","","2","","","26","26","1","4","","B03","24.34839","121.32188","3"
"2019","8","3","6","32","臺中市","烏日區","0","0","0","8","","","70","","","","","","","","","","","","","","","","","","","","A11","","","1","","2","","","23","","1","22","","A11","24.113158","120.593114","3"
"2019","8","3","6","54","臺中市","大雅區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","5","5","5","1","17","1","3","10","1","1","B03","7","9","1","8","2","15","","1","1","1","21","8","B03","24.241136","120.630488","2"
"2019","8","3","6","55","臺中市","北區","0","1","0","8","1","5","50","14","7","1","5","4","5","7","4","4","5","5","4","2","17","19","3","10","1","1","B12","7","1","1","8","2","8","","19","19","1","21","8","B12","24.150501","120.68154","2"
"2019","8","3","7","18","臺中市","梧棲區","0","2","0","8","1","5","40","4","1","1","5","4","5","7","4","4","10","5","5","2","15","6","2","7","1","1","C03","7","9","1","10","2","12","","6","6","1","9","1","C03","24.233605","120.536833","2"
"2019","8","3","8","20","臺中市","清水區","0","2","0","8","1","5","40","5","2","1","5","4","5","7","1","1","1","4","4","1","12","7","2","9","1","1","C03","7","7","1","10","2","14","","7","7","1","5","7","C03","24.275416","120.57746","2"
"2019","8","3","8","32","臺中市","太平區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","23","","1","4","","B12","24.125555","120.717508","3"
"2019","8","3","8","34","臺中市","東區","0","0","0","8","","","50","","","","","","","","","","","","","","","42","","","","","B12","","","1","8","2","","","42","42","1","5","","B12","24.133593","120.693335","3"
"2019","8","3","8","36","臺中市","梧棲區","0","2","0","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","15","25","2","8","1","1","C03","7","9","1","10","2","11","","25","25","1","20","8","C03","24.255073","120.551594","2"
"2019","8","3","8","45","臺中市","東區","0","1","0","8","1","5","50","14","8","1","5","4","5","7","4","4","1","4","4","2","16","6","3","10","1","1","B03","7","6","1","8","2","6","","6","6","1","21","8","B03","24.131896","120.690903","2"
"2019","8","3","8","46","臺中市","東區","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","A04","","","1","","9","","","23","","2","5","","A04","24.135866","120.686103","3"
"2019","8","3","8","51","臺中市","太平區","0","1","0","8","1","5","50","3","2","1","5","4","5","7","1","1","5","4","4","1","12","42","3","10","1","1","B03","7","9","1","8","2","5","","42","42","1","21","8","B03","24.149798","120.725873","2"
"2019","8","3","8","55","臺中市","南區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.127191","120.669697","3"
"2019","8","3","9","14","臺中市","北屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","7","","1","","","B03","24.171782","120.687709","3"
"2019","8","3","9","29","臺中市","太平區","0","1","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","16","8","3","10","1","1","B03","7","5","1","8","2","8","","8","8","1","4","5","B03","24.123579","120.719817","2"
"2019","8","3","9","31","臺中市","大雅區","0","2","0","8","1","5","50","4","1","1","5","4","5","7","1","1","5","5","5","2","17","25","2","9","4","5","F03","7","9","8","20","2","16","","25","25","1","19","8","F03","24.22836","120.64135","2"
"2019","8","3","9","34","臺中市","東區","0","2","0","8","1","5","50","3","1","1","5","4","5","7","2","1","10","5","5","2","15","43","3","10","3","4","B03","7","9","1","8","2","8","","43","43","1","5","8","B03","24.135826","120.686255","2"
"2019","8","3","9","46","臺中市","后里區","0","0","0","8","1","5","50","14","20","4","5","4","5","7","3","1","1","4","4","1","16","","","","","","C03","","","3","","2","","","4","","1","20","","C03","24.29654","120.723726","3"
"2019","8","3","9","50","臺中市","大肚區","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","6","","1","4","","B03","24.127682","120.563783","3"
"2019","8","3","9","51","臺中市","西區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","2","1","10","5","5","2","17","6","3","10","1","1","B03","7","5","1","8","2","1","","6","6","1","19","7","B03","24.15097","120.655058","2"
"2019","8","3","9","54","臺中市","梧棲區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","12","","1","19","","B03","24.254586","120.533515","4"
"2019","8","3","9","55","臺中市","南屯區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.135073","120.650289","3"
"2019","8","3","9","56","臺中市","龍井區","0","2","0","8","1","5","40","3","2","1","5","4","5","7","4","4","10","5","4","2","16","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","12","8","C03","24.196375","120.527223","2"
"2019","8","3","10","0","臺中市","大甲區","0","1","0","8","1","5","50","14","8","1","5","4","5","7","4","4","5","4","4","1","16","26","3","10","1","1","B03","7","11","1","8","2","5","","26","26","1","20","8","B03","24.351647","120.614182","2"
"2019","8","3","10","5","臺中市","西區","0","1","0","8","1","5","50","5","2","1","5","4","5","7","1","1","1","4","4","1","16","10","3","10","1","1","C03","7","11","1","10","2","12","","10","10","1","21","8","C03","24.152345","120.657209","2"
"2019","8","3","10","5","臺中市","大甲區","0","0","0","","","","","","","","","","","","","","","","","","","17","","","","","C03","","","1","","2","","","17","17","1","","","C03","24.344444","120.626553","3"
"2019","8","3","10","15","臺中市","太平區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","C03","","","4","","2","","","4","","1","21","","C03","24.126429","120.711617","3"
"2019","8","3","10","15","臺中市","潭子區","0","0","0","8","","","60","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","25","","1","22","","B03","24.202645","120.70396","3"
"2019","8","3","10","18","臺中市","潭子區","0","1","0","8","1","5","50","14","7","1","5","4","5","7","4","4","5","5","4","2","16","23","3","10","1","1","B03","7","9","1","8","2","5","","23","23","1","22","8","B03","24.20888","120.683066","2"
"2019","8","3","10","25","臺中市","南區","0","2","0","8","1","5","40","14","9","1","5","4","5","7","4","4","5","5","5","2","17","19","3","10","1","1","B03","7","1","1","8","2","1","","19","19","1","22","8","B03","24.114974","120.657654","2"
"2019","8","3","10","26","臺中市","北區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","16","9","3","10","3","4","B03","7","6","1","8","2","6","","9","9","1","5","8","B03","24.155738","120.675388","2"
"2019","8","3","10","26","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","A11","","","1","","2","","","16","","1","22","","A11","24.170021","120.672418","3"
"2019","8","3","10","26","臺中市","北屯區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","1","4","5","2","12","19","3","10","1","1","B03","7","1","1","8","2","7","","19","19","1","21","8","B03","24.177166","120.699934","2"
"2019","8","3","10","30","臺中市","梧棲區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","4","5","5","1","17","23","2","9","1","1","C04","7","6","1","10","2","14","","23","23","2","9","8","C04","24.252098","120.533055","2"
"2019","8","3","10","31","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","23","","","","","B03","","","1","","9","","","23","23","1","4","","B03","24.175971","120.617754","3"
"2019","8","3","10","36","臺中市","西區","0","0","0","8","1","5","50","14","8","1","5","4","5","7","4","4","1","4","4","2","16","","","","","","B03","","","1","","2","","","9","","1","22","","B03","24.140271","120.658096","3"
"2019","8","3","10","38","臺中市","北區","0","0","0","8","1","5","50","13","9","1","5","4","","7","4","4","10","5","5","2","14","","","","","","B12","","","1","","2","","","12","","1","22","","B12","24.159789","120.670158","3"
"2019","8","3","10","42","臺中市","沙鹿區","0","0","0","8","","","60","","","","","","","","","","","","","","","7","","","","","B03","","","1","","2","","","7","7","","","","B03","24.250036","120.589113","3"
"2019","8","3","10","49","臺中市","潭子區","0","1","0","8","1","5","40","4","1","1","5","4","5","7","1","1","10","5","5","2","16","8","2","9","1","1","C03","7","9","1","10","2","11","","23","8","1","22","8","C03","24.20319","120.708563","2"
"2019","8","3","11","0","臺中市","潭子區","0","2","0","8","1","5","40","14","12","1","5","4","5","7","4","4","1","4","4","1","13","16","2","9","1","1","C03","7","9","1","10","2","11","","16","16","1","22","8","C03","24.216323","120.699612","2"
"2019","8","3","11","5","臺中市","清水區","0","0","0","8","","","70","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","23","","1","2","","B12","24.270893","120.567579","3"
"2019","8","3","11","10","臺中市","南屯區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","10","5","5","2","17","19","3","10","1","1","B03","7","1","1","8","2","1","","19","19","1","22","9","B03","24.152054","120.649013","2"
"2019","8","3","11","10","臺中市","北屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","12","","1","","","B12","24.196482","120.686347","3"
"2019","8","3","11","12","臺中市","太平區","0","1","0","8","1","5","50","14","22","1","5","4","5","7","3","1","10","5","5","2","16","1","2","7","1","1","C03","7","4","1","10","2","12","","1","1","1","5","8","C03","24.105","120.728055","2"
"2019","8","3","11","13","臺中市","西區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","16","25","3","10","1","1","B03","7","5","1","8","2","4","","25","25","1","5","5","B03","24.150894","120.657284","2"
"2019","8","3","11","15","臺中市","北區","0","1","0","8","1","5","40","14","12","1","5","4","5","7","4","4","5","5","4","2","16","7","3","10","3","4","B12","7","8","1","8","2","2","","7","7","1","22","9","B12","24.159208","120.666873","2"
"2019","8","3","11","19","臺中市","清水區","0","1","0","8","1","5","40","4","2","1","5","4","5","7","1","1","10","5","5","2","12","23","3","10","1","1","B03","7","6","1","8","2","2","","23","23","1","20","8","B03","24.271175","120.54915","2"
"2019","8","3","11","28","臺中市","南區","0","0","0","8","","","40","","","","","","","","","","","","","","","5","","","","","F01","","","8","","2","","","5","5","1","5","","F01","24.11495","120.651428","3"
"2019","8","3","11","30","臺中市","和平區","0","0","0","8","","","50","","","","","","","","","","","","","","","21","","","","","C03","","","6","","7","","","21","21","1","4","","C03","24.170264","120.870671","3"
"2019","8","3","11","31","臺中市","清水區","0","0","0","8","","","70","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","21","","B03","24.271916","120.568221","3"
"2019","8","3","11","33","臺中市","西屯區","","","","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.15579","120.64983","3"
"2019","8","3","11","35","臺中市","南屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","16","","","","","B03","","","1","","2","","","44","16","1","22","","B03","24.153607","120.644534","3"
"2019","8","3","11","35","臺中市","豐原區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","12","","2","21","","B03","24.263606","120.745845","3"
"2019","8","3","11","40","臺中市","西屯區","0","0","0","8","","","80","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","23","","1","","","B12","24.155694","120.62515","3"
"2019","8","3","11","42","臺中市","神岡區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","11","","","12","","2","22","","B03","24.248466","120.683253","3"
"2019","8","3","11","52","臺中市","太平區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","20","","B03","24.14137","120.712203","3"
"2019","8","3","11","54","臺中市","北屯區","0","0","0","8","1","5","50","14","9","1","5","4","5","7","4","4","4","3","5","2","16","23","3","10","1","1","B03","7","6","1","8","2","6","","23","23","1","21","8","B03","24.179033","120.739574","3"
"2019","8","3","12","0","臺中市","西區","0","1","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","16","6","3","10","1","1","B03","7","6","1","8","2","4","","6","6","1","20","8","B03","24.150273","120.655061","2"
"2019","8","3","12","0","臺中市","潭子區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.218786","120.723738","3"
"2019","8","3","12","8","臺中市","西區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","15","6","2","9","1","1","C03","7","9","1","10","2","11","","6","6","1","5","5","C03","24.141321","120.668077","2"
"2019","8","3","12","9","臺中市","西屯區","0","0","0","8","1","5","70","14","7","1","5","4","5","7","4","4","10","4","5","2","16","7","3","10","3","4","B02","7","8","6","8","9","5","","7","7","2","22","9","B02","24.177478","120.626756","3"
"2019","8","3","12","10","臺中市","南屯區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","5","2","5","2","16","7","3","10","1","1","B03","7","7","1","8","2","4","","7","7","1","22","9","B03","24.144076","120.650694","2"
"2019","8","3","12","10","臺中市","大肚區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","18","43","2","9","1","1","C03","7","9","1","10","2","12","","43","43","1","5","5","C03","24.133602","120.561148","2"
"2019","8","3","12","12","臺中市","清水區","0","1","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","16","6","3","10","1","1","B03","7","5","1","8","2","1","","6","6","1","21","8","B03","24.267872","120.563085","2"
"2019","8","3","12","15","臺中市","南區","0","0","0","8","","","50","","","","","","","","","","","","","","","23","","","","","B03","","","1","","2","","","23","23","1","22","","B03","24.130577","120.671244","3"
